CountryName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Andorra,4.6,4.4,4.2,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8
Angola,216.7,214.1,211.7,209.2,206.7,203.9,200.5,196.4,192,187.3,182.5,177.3,172.2,167.1,162.2,156.9
Australia,6.2,6.1,6,6,5.9,5.7,5.6,5.4,5.2,5,4.8,4.5,4.3,4.1,3.9,3.8
Austria,5.5,5.4,5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.2,4,3.9,3.7,3.5
Belgium,5.8,5.6,5.4,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1
Burkina Faso,185.7,182.4,178.3,173.1,166.3,158.3,149.4,139.9,130.4,121.4,113.5,106.9,101.4,96.6,92.4,88.6
Burundi,152.2,147.8,143.2,138.3,133,127.1,120.9,114.5,108.6,103.5,98.8,94.9,91.2,87.8,84.6,81.7
Cameroon,150.4,145.7,140.2,134.7,129.6,125.1,120.7,116.6,112.8,109,104.8,101,97.4,93.9,90.6,87.9
Canada,6.2,6.2,6.2,6.1,6.1,6.1,6,5.9,5.8,5.7,5.6,5.4,5.3,5.2,5,4.9
Central African Republic,174.8,173.5,171.9,170.3,168.4,166.2,163.9,161.3,158.2,154.2,150.2,146.2,142.1,138.5,134,130.1
Chad,190.2,187.3,184.6,181.9,179.4,177,174.6,171.5,168,164,160.1,156,151.6,147.1,142.9,138.7
Congo DR,161,156.8,152.4,147.8,143.2,138.4,133.5,128.9,124.5,120.1,116.1,112.2,108.5,104.8,101.7,98.3
Cote d Ivoire,145.6,142.8,139.7,136.3,132.7,128.8,125.1,121.1,116.5,112.7,109.1,105.9,102.5,99,95.5,92.6
Cyprus,6.6,6.1,5.8,5.4,5.1,4.8,4.6,4.3,4.1,3.8,3.6,3.4,3.2,3,2.9,2.7
Czech Republic,6.6,6.2,6,5.7,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.5,3.4
Denmark,5.6,5.5,5.4,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4,3.9,3.8,3.7,3.6,3.5
Korea Rep,6.1,6.4,6.5,6.4,6,5.6,5.2,4.8,4.5,4.3,4.1,4,3.8,3.7,3.6,3.4
Liberia,181.8,169.7,157.6,145.9,134.8,124.7,115.7,107.8,100.9,94.7,89.3,84.5,80.3,76.3,72.9,69.9
Liechtenstein,,,,,,,,,,,,,,,,
Luxembourg,4.8,4.6,4.3,4.1,3.8,3.5,3.3,3,2.8,2.6,2.4,2.3,2.1,2,2,1.9
Malawi,174.4,161.7,148,135.2,124.6,116.2,109.9,104.9,100,95.4,90.9,84.5,77.3,71.3,66.9,64
Mali,219.6,211.2,201.8,191.8,181.7,171.8,162.9,155.1,148.3,142,136.6,131.7,127,122.7,118.3,114.7
Monaco,5.2,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7,3.6,3.5
Mozambique,171.1,162.5,154.5,147.1,140.2,133.8,127.8,120.1,113.6,107.6,102.8,97.5,90.9,85.6,81.2,78.5
Netherlands,6.2,6.1,5.9,5.7,5.6,5.4,5.2,5,4.8,4.6,4.4,4.3,4.2,4,3.9,3.8
Niger,227.3,217.6,207,195.7,184.1,172.7,161.8,151.3,141.3,132.1,123.6,116.1,109.6,104.1,99.6,95.5
Nigeria,186.8,181.3,175.6,169.9,164.1,158.1,152.2,146.4,140.9,135.5,130.3,125.5,120.9,116.6,112.5,108.8
Norway,4.9,4.7,4.5,4.4,4.2,4,3.9,3.7,3.5,3.4,3.2,3.1,3,2.8,2.7,2.6
Rwanda,183.8,170.2,154.7,139.4,124.4,110.7,98.6,87.8,78.3,70.6,64.1,57.7,52.1,47.8,44.3,41.7
San Marino,5.5,5.2,4.9,4.6,4.4,4.2,4,3.9,3.7,3.6,3.5,3.4,3.2,3.1,3,2.9
Sierra Leone,235.8,229.9,223.9,217.4,210.8,203.7,196.2,188,179.1,169.9,160.2,150.6,141.6,133.4,126.4,120.4
Singapore,4,3.7,3.4,3.2,3,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7
Slovenia,5.5,5.2,5,4.7,4.5,4.3,4,3.8,3.6,3.5,3.3,3.1,3,2.8,2.7,2.6
Somalia,174.4,174.4,174.4,174.4,174.4,174.3,173.7,171.8,168.5,164.4,160.2,155.3,150.6,146.1,141.2,136.8
South Sudan,182.3,173,163.8,155.2,147,139.3,132.1,125.7,120,115.2,110.9,106.7,102.8,99.2,95.6,92.6
Spain,6.5,6.3,6.2,6.1,5.9,5.7,5.5,5.2,5,4.8,4.6,4.5,4.4,4.3,4.2,4.1
Sweden,4.1,4.1,4,3.9,3.7,3.6,3.4,3.3,3.2,3.1,3.1,3,3,3,3,3
Switzerland,5.6,5.6,5.5,5.3,5.2,5.1,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4,3.9
Uganda,148.4,141,132.8,124.2,115.6,107.4,99.7,92.5,85.9,80.1,75.2,69.8,64.1,60.3,56.9,54.6
United Kingdom,6.6,6.4,6.3,6.3,6.1,6,5.9,5.8,5.6,5.4,5.2,5,4.8,4.6,4.4,4.2
Zambia,163.1,154.2,142.9,131.2,120.6,111.7,104.5,98,93.1,87.4,82.1,78.6,74.4,70.2,66.6,64
